Step,Time (sec) 
All steps 0-10,810.3735902309418
Step 0: Parse Targets,0.4845716953277588
Step 1: Collecting the genomic contexts,162.23674273490906
Step 1a: Mapping,4.868075847625732
Step 1b: Assemblies,152.36133193969727
Step 1c: Sequences,5.007312774658203
Step 2: Finding protein families,142.21657538414001
Step 3: Annotating functions and structures,148.70976996421814
Step 4-5: Finding operon/genomic_context,252.89461183547974
Step 6: Mapping taxonomy,22.755523204803467
Step 7: Finding ALL proteins with transmembrane segments,0.0011157989501953125
Step 8-9: Producing figures,80.1346447467804
Step 10: Write output,0.9345757961273193
