Step,Time (sec) 
All steps 0-10,95.18926978111267
Step 0: Parse Targets,0.008672475814819336
Step 1: Collecting the genomic contexts,10.68973422050476
Step 1a: Mapping,8.662272214889526
Step 1b: Assemblies,1.3421401977539062
Step 1c: Sequences,0.6852900981903076
Step 2: Finding protein families,26.941423177719116
Step 3: Annotating functions and structures,1.5489857196807861
Step 4-5: Finding operon/genomic_context,1.946234941482544
Step 6: Mapping taxonomy,28.938549280166626
Step 7: Finding ALL proteins with transmembrane segments,0.002300262451171875
Step 8-9: Producing figures,24.97881317138672
Step 10: Write output,0.12845587730407715
