Step,Time (sec) 
All steps 0-10,966.1290085315704
Step 0: Parse Targets,0.721717357635498
Step 1: Collecting the genomic contexts,253.3887438774109
Step 1a: Mapping,16.022745609283447
Step 1b: Assemblies,220.5960738658905
Step 1c: Sequences,16.7698974609375
Step 2: Finding protein families,228.24776124954224
Step 3: Annotating functions and structures,44.00283598899841
Step 4-5: Finding operon/genomic_context,300.6821024417877
Step 6: Mapping taxonomy,29.257898569107056
Step 7: Finding ALL proteins with transmembrane segments,0.0010344982147216797
Step 8-9: Producing figures,108.68359756469727
Step 10: Write output,1.1360819339752197
