Step,Time (sec) 
All steps 0-10,124.70710110664368
Step 0: Parse Targets,0.009071111679077148
Step 1: Collecting the genomic contexts,11.087684869766235
Step 1a: Mapping,9.062683343887329
Step 1b: Assemblies,1.4863929748535156
Step 1c: Sequences,0.5385839939117432
Step 2: Finding protein families,51.838627576828
Step 3: Annotating functions and structures,3.9997851848602295
Step 4-5: Finding operon/genomic_context,1.9272198677062988
Step 6: Mapping taxonomy,28.340031385421753
Step 7: Finding ALL proteins with transmembrane segments,0.0020966529846191406
Step 8-9: Producing figures,27.365171194076538
Step 10: Write output,0.1316547393798828
