target_sequences_10
nr_of_targets: 10
	Total_time	Count	Max	Min	Mean	Std	Median
db_parsing_single	5.867553573101759	2	4.977995499968529	0.8895580731332302	2.9337767865508795	2.890961828972119	2.9337767865508795
download_and_parse_refseq_and_gb_databases	5.868736106902361	1	5.868736106902361	5.868736106902361	5.868736106902361	nan	5.868736106902361
parse_targets	0.0005064737051725388	1	0.0005064737051725388	0.0005064737051725388	0.0005064737051725388	nan	0.0005064737051725388
Step 0: Parse Targets	0.0005355328321456909	1	0.0005355328321456909	0.0005355328321456909	0.0005355328321456909	nan	0.0005355328321456909
map_uniprot_to_ncbi	4.12273489497602	6	1.1943561341613531	0.2404072992503643	0.6871224824960033	0.37895448318646413	0.6360383108258247
get_assembly_id_from_ncbi_code	5.364810727536678	6	1.1113324370235205	0.6603995803743601	0.894135121256113	0.14880632460045884	0.8853806471452117
find_ncbi_code_assembly	12.584218930453062	10	2.0225915387272835	0.6604529228061438	1.2584218930453062	0.41733056556625536	1.1743136486038566
download_assembly	5.042162071913481	6	0.9512573983520269	0.7632309887558222	0.8403603453189135	0.06857953504827242	0.8273899229243398
extract_assembly_file	0.3237565103918314	6	0.10103485360741615	0.0338995736092329	0.05395941839863857	0.024835302047063152	0.04639744013547897
parse_assembly	0.5895877238363028	6	0.22187233716249466	0.007357865571975708	0.09826462063938379	0.09177772218659176	0.09320542588829994
download_and_extract_assembly	6.4315090253949165	6	1.2169503290206194	0.9091078601777554	1.0719181708991528	0.10841024500018717	1.0535723743960261
extract_flanking_genes	0.0003197118639945984	6	0.00010528042912483215	3.2529234886169434e-05	5.3285310665766396e-05	2.661546598408403e-05	4.788767546415329e-05
collecting_genomic_context	50.06598945893347	4	19.568202605471015	2.7812315076589584	12.516497364733368	7.082279950731229	13.85827767290175
add_sequences_to_flanking_genes	31.03167901188135	6	7.958535322919488	3.773254994302988	5.1719465019802255	1.516254520826674	4.993312648497522
Step 1: Collecting the genomic contexts	19.574441453441978	1	19.574441453441978	19.574441453441978	19.574441453441978	nan	19.574441453441978
compute_all_agains_all_distance_matrix_mmseqs	2.424190590158105	1	2.424190590158105	2.424190590158105	2.424190590158105	nan	2.424190590158105
find_clusters_in_distance_matrix	0.0028375741094350815	3	0.001337926834821701	0.00019879266619682312	0.0009458580364783605	0.0006472430672460513	0.0013008546084165573
mask_singleton_clusters	4.149042069911957e-05	1	4.149042069911957e-05	4.149042069911957e-05	4.149042069911957e-05	nan	4.149042069911957e-05
assign_families	0.00023540109395980835	1	0.00023540109395980835	0.00023540109395980835	0.00023540109395980835	nan	0.00023540109395980835
get_protein_families_summary	0.0016776397824287415	1	0.0016776397824287415	0.0016776397824287415	0.0016776397824287415	nan	0.0016776397824287415
find_and_add_protein_families_mmseqs	2.4280107729136944	1	2.4280107729136944	2.4280107729136944	2.4280107729136944	nan	2.4280107729136944
Step 2: Finding protein families	2.428037641569972	1	2.428037641569972	2.428037641569972	2.428037641569972	nan	2.428037641569972
find_operon_types_standard	0.0006456319242715836	1	0.0006456319242715836	0.0006456319242715836	0.0006456319242715836	nan	0.0006456319242715836
get_operon_types_summary	0.0012756474316120148	1	0.0012756474316120148	0.0012756474316120148	0.0012756474316120148	nan	0.0012756474316120148
Step 4: Finding operon/genomic_context	0.0019651316106319427	1	0.0019651316106319427	0.0019651316106319427	0.0019651316106319427	nan	0.0019651316106319427
Step 5: Selecting most common operon/genomic context	0.0066050197929143906	1	0.0066050197929143906	0.0066050197929143906	0.0066050197929143906	nan	0.0066050197929143906
map_taxonomy	3.425239607691765	6	0.6461131665855646	0.5137997139245272	0.5708732679486275	0.051538995017875386	0.5746576199308038
Step 6: Mapping taxonomy	1.168001502752304	1	1.168001502752304	1.168001502752304	1.168001502752304	nan	1.168001502752304
get_uniprot_annotation_for_each_peptide	9.141181573271751	50	0.7363871578127146	3.594905138015747e-07	0.18282363146543504	0.19919443544808407	0.12755611073225737
Step 7: Finding ALL proteins with transmembrane segments	10.163023123517632	1	10.163023123517632	10.163023123517632	10.163023123517632	nan	10.163023123517632
Step 8: Making genomic context figure	0.5965731330215931	1	0.5965731330215931	0.5965731330215931	0.5965731330215931	nan	0.5965731330215931
Step 9: Making interactive html output	0.4311136845499277	1	0.4311136845499277	0.4311136845499277	0.4311136845499277	nan	0.4311136845499277
Step 10: Write output	0.005650732666254044	1	0.005650732666254044	0.005650732666254044	0.005650732666254044	nan	0.005650732666254044
All steps 0-10	34.378662798553705	1	34.378662798553705	34.378662798553705	34.378662798553705	nan	34.378662798553705
