Step,Time (sec) 
All steps 0-10,286.4207944869995
Step 0: Parse Targets,0.009709358215332031
Step 1: Collecting the genomic contexts,10.363394737243652
Step 1a: Mapping,8.486450433731079
Step 1b: Assemblies,1.2768068313598633
Step 1c: Sequences,0.600111722946167
Step 2: Finding protein families,52.91338610649109
Step 3: Annotating functions and structures,3.7753775119781494
Step 4-5: Finding operon/genomic_context,1.903886318206787
Step 6: Mapping taxonomy,190.21982407569885
Step 7: Finding ALL proteins with transmembrane segments,0.0013756752014160156
Step 8-9: Producing figures,27.096152544021606
Step 10: Write output,0.1318511962890625
