Step,Time (sec) 
All steps 0-10,318.09604024887085
Step 0: Parse Targets,0.009181737899780273
Step 1: Collecting the genomic contexts,10.717187881469727
Step 1a: Mapping,7.79744029045105
Step 1b: Assemblies,2.410480260848999
Step 1c: Sequences,0.5092432498931885
Step 2: Finding protein families,92.66330003738403
Step 3: Annotating functions and structures,1.3223249912261963
Step 4-5: Finding operon/genomic_context,1.8249871730804443
Step 6: Mapping taxonomy,186.84746599197388
Step 7: Finding ALL proteins with transmembrane segments,0.001528024673461914
Step 8-9: Producing figures,24.573223114013672
Step 10: Write output,0.12975311279296875
