Step,Time (sec) 
All steps 0-10,735.6513538360596
Step 0: Parse Targets,0.4877815246582031
Step 1: Collecting the genomic contexts,214.5417332649231
Step 1a: Mapping,3.331578493118286
Step 1b: Assemblies,204.1834762096405
Step 1c: Sequences,7.02664589881897
Step 2: Finding protein families,150.73246550559998
Step 3: Annotating functions and structures,17.268352031707764
Step 4-5: Finding operon/genomic_context,243.70626163482666
Step 6: Mapping taxonomy,22.353240728378296
Step 7: Finding ALL proteins with transmembrane segments,0.0009772777557373047
Step 8-9: Producing figures,85.6446144580841
Step 10: Write output,0.9098796844482422
