Step,Time (sec) 
All steps 0-10,901.8151197433472
Step 0: Parse Targets,0.7223763465881348
Step 1: Collecting the genomic contexts,231.7352466583252
Step 1a: Mapping,9.167133092880249
Step 1b: Assemblies,217.30416870117188
Step 1c: Sequences,5.263917922973633
Step 2: Finding protein families,227.85506796836853
Step 3: Annotating functions and structures,10.039258480072021
Step 4-5: Finding operon/genomic_context,293.3864538669586
Step 6: Mapping taxonomy,29.46268916130066
Step 7: Finding ALL proteins with transmembrane segments,0.002674102783203125
Step 8-9: Producing figures,107.48741126060486
Step 10: Write output,1.1184437274932861
