target_sequences_100
nr_of_targets: 100
	Total_time	Count	Max	Min	Mean	Std	Median
db_parsing_single	6.159592995420098	2	5.23352019302547	0.9260728023946285	3.079796497710049	3.0458252595193676	3.079796497710049
download_and_parse_refseq_and_gb_databases	6.161642929539084	1	6.161642929539084	6.161642929539084	6.161642929539084	nan	6.161642929539084
parse_targets	0.0009929761290550232	1	0.0009929761290550232	0.0009929761290550232	0.0009929761290550232	nan	0.0009929761290550232
Step 0: Parse Targets	0.0010441392660140991	1	0.0010441392660140991	0.0010441392660140991	0.0010441392660140991	nan	0.0010441392660140991
map_uniprot_to_ncbi	39.941516844555736	60	1.2823822312057018	0.24009846150875092	0.6656919474092623	0.3729773068349182	0.511184967122972
get_assembly_id_from_ncbi_code	51.71271609887481	60	1.5921865440905094	0.6354746203869581	0.8618786016479134	0.2156390058855458	0.7926046121865511
find_ncbi_code_assembly	124.57962967455387	100	2.3211816754192114	0.644597452133894	1.2457962967455387	0.46216423173110144	1.1733891945332289
download_assembly	44.29767429828644	56	0.950350197032094	0.6655741687864065	0.7910298981836864	0.06170269274737001	0.7667776001617312
extract_assembly_file	2.509339317679405	60	0.10039300471544266	0.0033905524760484695	0.04182232196132342	0.01688710072552692	0.0430885860696435
parse_assembly	3.461830524727702	60	0.25160823948681355	0.0004216134548187256	0.05769717541212837	0.060421725492245906	0.03606365714222193
download_and_extract_assembly	56.73111822642386	60	1.29241450317204	0.0586217250674963	0.9455186371070643	0.24649565989843628	0.9738623574376106
extract_flanking_genes	0.002840789034962654	60	8.307211101055145e-05	2.788938581943512e-05	4.7346483916044237e-05	1.1804015184041523e-05	4.726182669401169e-05
add_sequences_to_flanking_genes	364.7553376033902	60	9.527675956487656	3.370402742177248	6.07925562672317	1.3120374910318298	5.689368456602097
collecting_genomic_context	546.4131342917681	8	112.9601255171001	17.032507164403796	68.30164178647101	32.97311189239253	70.98252510186285
Step 1: Collecting the genomic contexts	112.96987115591764	1	112.96987115591764	112.96987115591764	112.96987115591764	nan	112.96987115591764
compute_all_agains_all_distance_matrix_mmseqs	4.742914332076907	1	4.742914332076907	4.742914332076907	4.742914332076907	nan	4.742914332076907
find_clusters_in_distance_matrix	0.007397441193461418	3	0.0035506300628185272	0.0003447122871875763	0.002465813731153806	0.0018370880004806355	0.0035020988434553146
mask_singleton_clusters	0.0028824657201766968	1	0.0028824657201766968	0.0028824657201766968	0.0028824657201766968	nan	0.0028824657201766968
assign_families	0.012315036728978157	1	0.012315036728978157	0.012315036728978157	0.012315036728978157	nan	0.012315036728978157
get_protein_families_summary	0.003148859366774559	1	0.003148859366774559	0.003148859366774559	0.003148859366774559	nan	0.003148859366774559
find_and_add_protein_families_mmseqs	4.765349257737398	1	4.765349257737398	4.765349257737398	4.765349257737398	nan	4.765349257737398
Step 2: Finding protein families	4.765384558588266	1	4.765384558588266	4.765384558588266	4.765384558588266	nan	4.765384558588266
find_operon_types_standard	0.018580762669444084	1	0.018580762669444084	0.018580762669444084	0.018580762669444084	nan	0.018580762669444084
get_operon_types_summary	0.0017073098570108414	1	0.0017073098570108414	0.0017073098570108414	0.0017073098570108414	nan	0.0017073098570108414
Step 4: Finding operon/genomic_context	0.02035881206393242	1	0.02035881206393242	0.02035881206393242	0.02035881206393242	nan	0.02035881206393242
Step 5: Selecting most common operon/genomic context	0.006998041644692421	1	0.006998041644692421	0.006998041644692421	0.006998041644692421	nan	0.006998041644692421
map_taxonomy	40.34897076152265	57	1.3321791123598814	0.3538153860718012	0.7078766800267132	0.2892696823050507	0.6653046887367964
Step 6: Mapping taxonomy	6.2679779920727015	1	6.2679779920727015	6.2679779920727015	6.2679779920727015	nan	6.2679779920727015
get_uniprot_annotation_for_each_peptide	116.75767392106354	522	0.8632998634129763	3.688037395477295e-07	0.22367370482962365	0.20494746239010792	0.12990852538496256
Step 7: Finding ALL proteins with transmembrane segments	119.27384264394641	1	119.27384264394641	119.27384264394641	119.27384264394641	nan	119.27384264394641
Step 8: Making genomic context figure	2.6925158090889454	1	2.6925158090889454	2.6925158090889454	2.6925158090889454	nan	2.6925158090889454
Step 9: Making interactive html output	1.9930253457278013	1	1.9930253457278013	1.9930253457278013	1.9930253457278013	nan	1.9930253457278013
Step 10: Write output	0.019019635394215584	1	0.019019635394215584	0.019019635394215584	0.019019635394215584	nan	0.019019635394215584
All steps 0-10	248.0128472354263	1	248.0128472354263	248.0128472354263	248.0128472354263	nan	248.0128472354263
