Step,Time (sec) 
All steps 0-10,334.6747269630432
Step 0: Parse Targets,0.009309530258178711
Step 1: Collecting the genomic contexts,11.696259498596191
Step 1a: Mapping,9.712764024734497
Step 1b: Assemblies,1.1565322875976562
Step 1c: Sequences,0.8269376754760742
Step 2: Finding protein families,97.57168912887573
Step 3: Annotating functions and structures,3.724224090576172
Step 4-5: Finding operon/genomic_context,1.844224214553833
Step 6: Mapping taxonomy,192.50013780593872
Step 7: Finding ALL proteins with transmembrane segments,0.0022950172424316406
Step 8-9: Producing figures,27.188532829284668
Step 10: Write output,0.13222122192382812
