Step,Time (sec) 
All steps 0-10,729.2557928562164
Step 0: Parse Targets,0.48276448249816895
Step 1: Collecting the genomic contexts,151.78561067581177
Step 1a: Mapping,2.8441624641418457
Step 1b: Assemblies,143.906996011734
Step 1c: Sequences,5.0344297885894775
Step 2: Finding protein families,210.37423849105835
Step 3: Annotating functions and structures,11.017730474472046
Step 4-5: Finding operon/genomic_context,250.75402069091797
Step 6: Mapping taxonomy,22.627755641937256
Step 7: Finding ALL proteins with transmembrane segments,0.0017740726470947266
Step 8-9: Producing figures,81.13665580749512
Step 10: Write output,0.8877198696136475
