Step,Time (sec) 
All steps 0-10,256.5924563407898
Step 0: Parse Targets,0.009257078170776367
Step 1: Collecting the genomic contexts,11.524451971054077
Step 1a: Mapping,9.335905075073242
Step 1b: Assemblies,1.618863821029663
Step 1c: Sequences,0.5696587562561035
Step 2: Finding protein families,26.295945644378662
Step 3: Annotating functions and structures,1.4221088886260986
Step 4-5: Finding operon/genomic_context,1.849712610244751
Step 6: Mapping taxonomy,190.40069794654846
Step 7: Finding ALL proteins with transmembrane segments,0.0024204254150390625
Step 8-9: Producing figures,24.95245385169983
Step 10: Write output,0.12916898727416992
