Step,Time (sec) 
All steps 0-10,95.13525772094727
Step 0: Parse Targets,0.009164810180664062
Step 1: Collecting the genomic contexts,10.20186996459961
Step 1a: Mapping,8.235673666000366
Step 1b: Assemblies,1.3107030391693115
Step 1c: Sequences,0.6554675102233887
Step 2: Finding protein families,26.870362758636475
Step 3: Annotating functions and structures,1.8878273963928223
Step 4-5: Finding operon/genomic_context,1.8657159805297852
Step 6: Mapping taxonomy,28.892831802368164
Step 7: Finding ALL proteins with transmembrane segments,0.0022945404052734375
Step 8-9: Producing figures,25.26409935951233
Step 10: Write output,0.1343379020690918
