Step,Time (sec) 
All steps 0-10,667.0608851909637
Step 0: Parse Targets,0.4845290184020996
Step 1: Collecting the genomic contexts,157.76520204544067
Step 1a: Mapping,2.914311170578003
Step 1b: Assemblies,149.6139736175537
Step 1c: Sequences,5.23689603805542
Step 2: Finding protein families,143.41522860527039
Step 3: Annotating functions and structures,10.07932710647583
Step 4-5: Finding operon/genomic_context,247.90182757377625
Step 6: Mapping taxonomy,22.550188302993774
Step 7: Finding ALL proteins with transmembrane segments,0.0012738704681396484
Step 8-9: Producing figures,83.97214365005493
Step 10: Write output,0.8863508701324463
