Step,Time (sec) 
All steps 0-10,816.6533968448639
Step 0: Parse Targets,0.48511314392089844
Step 1: Collecting the genomic contexts,119.46741342544556
Step 1a: Mapping,3.3568830490112305
Step 1b: Assemblies,111.56893157958984
Step 1c: Sequences,4.541580677032471
Step 2: Finding protein families,198.11981201171875
Step 3: Annotating functions and structures,142.88999319076538
Step 4-5: Finding operon/genomic_context,250.98419451713562
Step 6: Mapping taxonomy,23.847145080566406
Step 7: Finding ALL proteins with transmembrane segments,0.0011441707611083984
Step 8-9: Producing figures,79.94551515579224
Step 10: Write output,0.9080173969268799
