Step,Time (sec) 
All steps 0-10,835.6058552265167
Step 0: Parse Targets,0.49256372451782227
Step 1: Collecting the genomic contexts,217.7684667110443
Step 1a: Mapping,3.249790906906128
Step 1b: Assemblies,207.54065561294556
Step 1c: Sequences,6.977997779846191
Step 2: Finding protein families,238.56866240501404
Step 3: Annotating functions and structures,17.024969577789307
Step 4-5: Finding operon/genomic_context,253.38776183128357
Step 6: Mapping taxonomy,22.30904197692871
Step 7: Finding ALL proteins with transmembrane segments,0.0014522075653076172
Step 8-9: Producing figures,84.68301391601562
Step 10: Write output,0.9002337455749512
