Step,Time (sec) 
All steps 0-10,324.2092504501343
Step 0: Parse Targets,0.012202024459838867
Step 1: Collecting the genomic contexts,6.7238547801971436
Step 1a: Mapping,4.850693464279175
Step 1b: Assemblies,1.246812343597412
Step 1c: Sequences,0.626319408416748
Step 2: Finding protein families,97.23936438560486
Step 3: Annotating functions and structures,3.9612646102905273
Step 4-5: Finding operon/genomic_context,1.8719737529754639
Step 6: Mapping taxonomy,186.5135018825531
Step 7: Finding ALL proteins with transmembrane segments,0.0014848709106445312
Step 8-9: Producing figures,27.746703147888184
Step 10: Write output,0.13365745544433594
